ID;X;Y;Demand
0;3.532324644162938;-5.301723156111864;0
1;80.0116438311309;-55.493542807653306;12
2;13.43995293554714;-63.72920073409609;7
3;21.501642921609672;22.994350838434556;3
4;-84.92846234327493;27.94190072234295;18
5;0.882853074002881;65.46091201427188;6
6;50.28509834038314;-41.279385748935304;18
7;79.93838665903831;73.43348933810242;7
8;80.67644376349398;-90.10098386140174;20
9;69.97029100232044;-94.43708972292058;8
10;70.67175084520386;-87.37698487045895;16
11;56.947868940293745;18.742772617695238;5
12;-24.689240060906442;26.84502232330685;4
13;-3.5829377221385528;24.769696767788602;14
14;13.435865405863368;-15.495598666730828;10
15;66.77183808078658;-14.674701086278802;20
16;-51.440638699132315;-33.57387087433452;18
17;53.45428133815133;13.457541115719835;10
18;-18.89089106937854;35.192320513100384;11
19;38.74497685306946;-8.544670745857829;12
20;5.415115311226188;-85.63088163690213;4
21;-15.177614597628676;-62.91284195262872;8
22;-9.867649755747081;27.36785921622294;8
23;87.34570994026075;-41.693493556411255;19
24;-50.527731188633474;-27.85992520522798;13
25;86.80856809828126;17.23310855718651;3
26;-75.51525348659726;11.451095603955252;9
27;47.75209696461789;91.56142782872422;17
28;17.153508321469218;-61.41872663881105;14
29;37.51995006885684;-49.33784629011291;20
30;-35.58053557048029;20.52260108925283;16
31;87.90054569910012;48.96806688479526;9
32;12.96397384286277;-58.743146874683625;17
33;5.400838749627596;60.005811254668004;13
34;-51.78600703895506;5.1318348138919845;19
35;-4.156417532838574;-7.923885018339249;8
36;21.962320913358568;1.9636848606897246;14
37;-54.63597465270935;52.23246871489994;8
38;-7.68788390248109;-68.35736925360021;18
39;-22.43402372738717;-17.862976564914874;20
40;-15.879821888408003;4.473841292483584;6
41;-17.702785430482578;12.03851104391724;3
42;17.597840941590917;38.20861425383683;13
43;-5.770478856825761;-96.21458811046028;20
44;88.0197102755082;-89.89714369402897;12
45;-10.026745847899377;-58.375861579982605;19
46;-83.3596341937637;-59.216219119831415;17
47;-52.06986652021794;57.98925356298088;18
48;96.6947692268946;97.15317522674906;15
49;-55.23696620109788;71.89800720709894;20
50;-17.79360192735207;-56.95007291171754;18
51;86.31964842207859;2.661955274817956;3
52;-16.856690420796866;-87.25220537374307;13
53;-79.2516950509146;79.36069037693812;4
54;1.3670989362348962;-54.37218716934258;16
55;-75.90475689911067;-90.30639612479688;4
56;-47.337799802686305;92.64532747778787;3
57;65.86647831400109;-79.59154236999564;16
58;-20.211889353071015;0.5179006049032893;13
59;-63.76266145855875;35.82128446525209;13
60;-55.04557251709157;11.717337683387854;18
61;-1.4674797191522657;82.19402426338917;20
62;91.5529833587616;59.86274185341742;7
63;34.11451838704994;-51.09748807425791;15
64;-52.60923693889896;46.914838445869606;9
65;82.93031933224901;20.003934681353826;19
66;-93.25490819559464;-56.26694738789122;14
67;-0.6706762720830426;38.262861061063745;14
68;-58.536271060628685;10.658299926688926;19
69;-92.57404701814494;65.16703665526782;4
70;48.80024032398279;-42.277476818300656;5
71;-36.731256876345796;46.704907945986236;7
72;59.84793433081805;-34.56358768877254;14
73;69.3586076518555;-36.68427863766666;8
74;63.635801488129005;36.66549639285492;9
75;87.26115679297311;50.69081457091775;3
76;31.47167239144281;-87.00486369484004;10
77;-22.073543071599786;-76.83363416260396;10
78;41.893103650103285;-40.72793759179165;11
79;-29.327287983508185;-17.007441360725295;17
80;-0.5078574476835342;64.22945969016135;16
81;74.55054018190151;-67.75340815450366;13
82;47.47719844739149;-51.80001724924954;20
83;-95.56735890937038;58.43649862596325;8
84;78.08003442311283;90.41044608109442;3
85;-44.567251017148294;99.53742787627024;6
86;-88.27304027450768;-32.42294407100026;5
87;-47.09257777153637;-51.7112764517385;19
88;-26.459693732452678;-81.85566993303306;8
89;-11.153700145727512;32.33938316097195;14
90;-55.85569480786239;50.83799769819035;5
91;20.87970740830805;-42.944809479755165;8
92;-79.61135962356806;82.30887661506833;5
93;49.16896074084744;-80.44827542093118;16
94;39.661832721278444;50.77092395429614;9
95;-81.62890451910634;-27.697284033867604;6
96;-81.178041878167;-82.77368755154592;18
97;-13.801381378531886;-55.016531510334474;7
98;96.40095303815966;-76.88489811486579;16
99;13.379628089249536;86.46564729665894;11
